😀,b'\\U0001F600',grinning face face grin
🤷🏿,b'\\U0001F937\\U0001F3FF',person shrugging: dark skin tone dark skin tone doubt ignorance indifference shrug
🤷‍♂️,b'\\U0001F937\\U0000200D\\U00002642\\U0000FE0F',man shrugging doubt ignorance indifference man shrug
🤷🏻‍♂️,b'\\U0001F937\\U0001F3FB\\U0000200D\\U00002642\\U0000FE0F',man shrugging: light skin tone doubt ignorance indifference light skin tone man shrug
🤷🏼‍♂️,b'\\U0001F937\\U0001F3FC\\U0000200D\\U00002642\\U0000FE0F',man shrugging: medium-light skin tone doubt ignorance indifference man medium-light skin tone shrug
🤷🏽‍♂️,b'\\U0001F937\\U0001F3FD\\U0000200D\\U00002642\\U0000FE0F',man shrugging: medium skin tone doubt ignorance indifference man medium skin tone shrug
🤷🏾‍♂️,b'\\U0001F937\\U0001F3FE\\U0000200D\\U00002642\\U0000FE0F',man shrugging: medium-dark skin tone doubt ignorance indifference man medium-dark skin tone shrug
🤷🏿‍♂️,b'\\U0001F937\\U0001F3FF\\U0000200D\\U00002642\\U0000FE0F',man shrugging: dark skin tone dark skin tone doubt ignorance indifference man shrug
🤷‍♀️,b'\\U0001F937\\U0000200D\\U00002640\\U0000FE0F',woman shrugging doubt ignorance indifference shrug woman
🤷🏻‍♀️,b'\\U0001F937\\U0001F3FB\\U0000200D\\U00002640\\U0000FE0F',woman shrugging: light skin tone doubt ignorance indifference light skin tone shrug woman
🤷🏼‍♀️,b'\\U0001F937\\U0001F3FC\\U0000200D\\U00002640\\U0000FE0F',woman shrugging: medium-light skin tone doubt ignorance indifference medium-light skin tone shrug woman
🤷🏽‍♀️,b'\\U0001F937\\U0001F3FD\\U0000200D\\U00002640\\U0000FE0F',woman shrugging: medium skin tone doubt ignorance indifference medium skin tone shrug woman
🤷🏾‍♀️,b'\\U0001F937\\U0001F3FE\\U0000200D\\U00002640\\U0000FE0F',woman shrugging: medium-dark skin tone doubt ignorance indifference medium-dark skin tone shrug woman
🤷🏿‍♀️,b'\\U0001F937\\U0001F3FF\\U0000200D\\U00002640\\U0000FE0F',woman shrugging: dark skin tone dark skin tone doubt ignorance indifference shrug woman
💆,b'\\U0001F486',person getting massage face massage salon
💆🏻,b'\\U0001F486\\U0001F3FB',person getting massage: light skin tone face light skin tone massage salon
💆🏼,b'\\U0001F486\\U0001F3FC',person getting massage: medium-light skin tone face massage medium-light skin tone salon
💆🏽,b'\\U0001F486\\U0001F3FD',person getting massage: medium skin tone face massage medium skin tone salon
💆🏾,b'\\U0001F486\\U0001F3FE',person getting massage: medium-dark skin tone face massage medium-dark skin tone salon
💆🏿,b'\\U0001F486\\U0001F3FF',person getting massage: dark skin tone dark skin tone face massage salon
💆‍♂️,b'\\U0001F486\\U0000200D\\U00002642\\U0000FE0F',man getting massage face man massage
💆🏻‍♂️,b'\\U0001F486\\U0001F3FB\\U0000200D\\U00002642\\U0000FE0F',man getting massage: light skin tone face light skin tone man massage
💆🏼‍♂️,b'\\U0001F486\\U0001F3FC\\U0000200D\\U00002642\\U0000FE0F',man getting massage: medium-light skin tone face man massage medium-light skin tone
💆🏽‍♂️,b'\\U0001F486\\U0001F3FD\\U0000200D\\U00002642\\U0000FE0F',man getting massage: medium skin tone face man massage medium skin tone
💆🏾‍♂️,b'\\U0001F486\\U0001F3FE\\U0000200D\\U00002642\\U0000FE0F',man getting massage: medium-dark skin tone face man massage medium-dark skin tone
💆🏿‍♂️,b'\\U0001F486\\U0001F3FF\\U0000200D\\U00002642\\U0000FE0F',man getting massage: dark skin tone dark skin tone face man massage
💆‍♀️,b'\\U0001F486\\U0000200D\\U00002640\\U0000FE0F',woman getting massage face massage woman
💆🏻‍♀️,b'\\U0001F486\\U0001F3FB\\U0000200D\\U00002640\\U0000FE0F',woman getting massage: light skin tone face light skin tone massage woman
💆🏼‍♀️,b'\\U0001F486\\U0001F3FC\\U0000200D\\U00002640\\U0000FE0F',woman getting massage: medium-light skin tone face massage medium-light skin tone woman
💆🏽‍♀️,b'\\U0001F486\\U0001F3FD\\U0000200D\\U00002640\\U0000FE0F',woman getting massage: medium skin tone face massage medium skin tone woman
💆🏾‍♀️,b'\\U0001F486\\U0001F3FE\\U0000200D\\U00002640\\U0000FE0F',woman getting massage: medium-dark skin tone face massage medium-dark skin tone woman
💆🏿‍♀️,b'\\U0001F486\\U0001F3FF\\U0000200D\\U00002640\\U0000FE0F',woman getting massage: dark skin tone dark skin tone face massage woman
💇,b'\\U0001F487',person getting haircut barber beauty haircut parlor
💇🏻,b'\\U0001F487\\U0001F3FB',person getting haircut: light skin tone barber beauty haircut light skin tone parlor
💇🏼,b'\\U0001F487\\U0001F3FC',person getting haircut: medium-light skin tone barber beauty haircut medium-light skin tone parlor
💇🏽,b'\\U0001F487\\U0001F3FD',person getting haircut: medium skin tone barber beauty haircut medium skin tone parlor
💇🏾,b'\\U0001F487\\U0001F3FE',person getting haircut: medium-dark skin tone barber beauty haircut medium-dark skin tone parlor
💇🏿,b'\\U0001F487\\U0001F3FF',person getting haircut: dark skin tone barber beauty dark skin tone haircut parlor
💇‍♂️,b'\\U0001F487\\U0000200D\\U00002642\\U0000FE0F',man getting haircut haircut man
💇🏻‍♂️,b'\\U0001F487\\U0001F3FB\\U0000200D\\U00002642\\U0000FE0F',man getting haircut: light skin tone haircut light skin tone man
💇🏼‍♂️,b'\\U0001F487\\U0001F3FC\\U0000200D\\U00002642\\U0000FE0F',man getting haircut: medium-light skin tone haircut man medium-light skin tone
💇🏽‍♂️,b'\\U0001F487\\U0001F3FD\\U0000200D\\U00002642\\U0000FE0F',man getting haircut: medium skin tone haircut man medium skin tone
💇🏾‍♂️,b'\\U0001F487\\U0001F3FE\\U0000200D\\U00002642\\U0000FE0F',man getting haircut: medium-dark skin tone haircut man medium-dark skin tone
💇🏿‍♂️,b'\\U0001F487\\U0001F3FF\\U0000200D\\U00002642\\U0000FE0F',man getting haircut: dark skin tone dark skin tone haircut man
💇‍♀️,b'\\U0001F487\\U0000200D\\U00002640\\U0000FE0F',woman getting haircut haircut woman
💇🏻‍♀️,b'\\U0001F487\\U0001F3FB\\U0000200D\\U00002640\\U0000FE0F',woman getting haircut: light skin tone haircut light skin tone woman
💇🏼‍♀️,b'\\U0001F487\\U0001F3FC\\U0000200D\\U00002640\\U0000FE0F',woman getting haircut: medium-light skin tone haircut medium-light skin tone woman
💇🏽‍♀️,b'\\U0001F487\\U0001F3FD\\U0000200D\\U00002640\\U0000FE0F',woman getting haircut: medium skin tone haircut medium skin tone woman
💇🏾‍♀️,b'\\U0001F487\\U0001F3FE\\U0000200D\\U00002640\\U0000FE0F',woman getting haircut: medium-dark skin tone haircut medium-dark skin tone woman
💇🏿‍♀️,b'\\U0001F487\\U0001F3FF\\U0000200D\\U00002640\\U0000FE0F',woman getting haircut: dark skin tone dark skin tone haircut woman
🚶,b'\\U0001F6B6',person walking hike walk walking
🚶🏻,b'\\U0001F6B6\\U0001F3FB',person walking: light skin tone hike light skin tone walk walking
🚶🏼,b'\\U0001F6B6\\U0001F3FC',person walking: medium-light skin tone hike medium-light skin tone walk walking
🚶🏽,b'\\U0001F6B6\\U0001F3FD',person walking: medium skin tone hike medium skin tone walk walking
🚶🏾,b'\\U0001F6B6\\U0001F3FE',person walking: medium-dark skin tone hike medium-dark skin tone walk walking
🚶🏿,b'\\U0001F6B6\\U0001F3FF',person walking: dark skin tone dark skin tone hike walk walking
🚶‍♂️,b'\\U0001F6B6\\U0000200D\\U00002642\\U0000FE0F',man walking hike man walk
🚶🏻‍♂️,b'\\U0001F6B6\\U0001F3FB\\U0000200D\\U00002642\\U0000FE0F',man walking: light skin tone hike light skin tone man walk
🚶🏼‍♂️,b'\\U0001F6B6\\U0001F3FC\\U0000200D\\U00002642\\U0000FE0F',man walking: medium-light skin tone hike man medium-light skin tone walk
🚶🏽‍♂️,b'\\U0001F6B6\\U0001F3FD\\U0000200D\\U00002642\\U0000FE0F',man walking: medium skin tone hike man medium skin tone walk
🚶🏾‍♂️,b'\\U0001F6B6\\U0001F3FE\\U0000200D\\U00002642\\U0000FE0F',man walking: medium-dark skin tone hike man medium-dark skin tone walk
🚶🏿‍♂️,b'\\U0001F6B6\\U0001F3FF\\U0000200D\\U00002642\\U0000FE0F',man walking: dark skin tone dark skin tone hike man walk
🚶‍♀️,b'\\U0001F6B6\\U0000200D\\U00002640\\U0000FE0F',woman walking hike walk woman
🚶🏻‍♀️,b'\\U0001F6B6\\U0001F3FB\\U0000200D\\U00002640\\U0000FE0F',woman walking: light skin tone hike light skin tone walk woman
🚶🏼‍♀️,b'\\U0001F6B6\\U0001F3FC\\U0000200D\\U00002640\\U0000FE0F',woman walking: medium-light skin tone hike medium-light skin tone walk woman
🚶🏽‍♀️,b'\\U0001F6B6\\U0001F3FD\\U0000200D\\U00002640\\U0000FE0F',woman walking: medium skin tone hike medium skin tone walk woman
🚶🏾‍♀️,b'\\U0001F6B6\\U0001F3FE\\U0000200D\\U00002640\\U0000FE0F',woman walking: medium-dark skin tone hike medium-dark skin tone walk woman
🚶🏿‍♀️,b'\\U0001F6B6\\U0001F3FF\\U0000200D\\U00002640\\U0000FE0F',woman walking: dark skin tone dark skin tone hike walk woman
🏃,b'\\U0001F3C3',person running marathon running
🏃🏻,b'\\U0001F3C3\\U0001F3FB',person running: light skin tone light skin tone marathon running
🏃🏼,b'\\U0001F3C3\\U0001F3FC',person running: medium-light skin tone marathon medium-light skin tone running
🏃🏽,b'\\U0001F3C3\\U0001F3FD',person running: medium skin tone marathon medium skin tone running
🏃🏾,b'\\U0001F3C3\\U0001F3FE',person running: medium-dark skin tone marathon medium-dark skin tone running
🏃🏿,b'\\U0001F3C3\\U0001F3FF',person running: dark skin tone dark skin tone marathon running
🏃‍♂️,b'\\U0001F3C3\\U0000200D\\U00002642\\U0000FE0F',man running man marathon racing running
🏃🏻‍♂️,b'\\U0001F3C3\\U0001F3FB\\U0000200D\\U00002642\\U0000FE0F',man running: light skin tone light skin tone man marathon racing running
🏃🏼‍♂️,b'\\U0001F3C3\\U0001F3FC\\U0000200D\\U00002642\\U0000FE0F',man running: medium-light skin tone man marathon medium-light skin tone racing running
🏃🏽‍♂️,b'\\U0001F3C3\\U0001F3FD\\U0000200D\\U00002642\\U0000FE0F',man running: medium skin tone man marathon medium skin tone racing running
🏃🏾‍♂️,b'\\U0001F3C3\\U0001F3FE\\U0000200D\\U00002642\\U0000FE0F',man running: medium-dark skin tone man marathon medium-dark skin tone racing running
🏃🏿‍♂️,b'\\U0001F3C3\\U0001F3FF\\U0000200D\\U00002642\\U0000FE0F',man running: dark skin tone dark skin tone man marathon racing running
🏃‍♀️,b'\\U0001F3C3\\U0000200D\\U00002640\\U0000FE0F',woman running marathon racing running woman
🏃🏻‍♀️,b'\\U0001F3C3\\U0001F3FB\\U0000200D\\U00002640\\U0000FE0F',woman running: light skin tone light skin tone marathon racing running woman
🏃🏼‍♀️,b'\\U0001F3C3\\U0001F3FC\\U0000200D\\U00002640\\U0000FE0F',woman running: medium-light skin tone marathon medium-light skin tone racing running woman
🏃🏽‍♀️,b'\\U0001F3C3\\U0001F3FD\\U0000200D\\U00002640\\U0000FE0F',woman running: medium skin tone marathon medium skin tone racing running woman
🏃🏾‍♀️,b'\\U0001F3C3\\U0001F3FE\\U0000200D\\U00002640\\U0000FE0F',woman running: medium-dark skin tone marathon medium-dark skin tone racing running woman
🏃🏿‍♀️,b'\\U0001F3C3\\U0001F3FF\\U0000200D\\U00002640\\U0000FE0F',woman running: dark skin tone dark skin tone marathon racing running woman
💃,b'\\U0001F483',woman dancing dancing woman
💃🏻,b'\\U0001F483\\U0001F3FB',woman dancing: light skin tone dancing light skin tone woman
💃🏼,b'\\U0001F483\\U0001F3FC',woman dancing: medium-light skin tone dancing medium-light skin tone woman
💃🏽,b'\\U0001F483\\U0001F3FD',woman dancing: medium skin tone dancing medium skin tone woman
💃🏾,b'\\U0001F483\\U0001F3FE',woman dancing: medium-dark skin tone dancing medium-dark skin tone woman
💃🏿,b'\\U0001F483\\U0001F3FF',woman dancing: dark skin tone dancing dark skin tone woman
🕺,b'\\U0001F57A',man dancing dance man
🕺🏻,b'\\U0001F57A\\U0001F3FB',man dancing: light skin tone dance light skin tone man
🕺🏼,b'\\U0001F57A\\U0001F3FC',man dancing: medium-light skin tone dance man medium-light skin tone
🕺🏽,b'\\U0001F57A\\U0001F3FD',man dancing: medium skin tone dance man medium skin tone
🕺🏾,b'\\U0001F57A\\U0001F3FE',man dancing: medium-dark skin tone dance man medium-dark skin tone
🕺🏿,b'\\U0001F57A\\U0001F3FF',man dancing: dark skin tone dance dark skin tone man
👯,b'\\U0001F46F',people with bunny ears partying bunny ear dancer partying
👯‍♂️,b'\\U0001F46F\\U0000200D\\U00002642\\U0000FE0F',men with bunny ears partying bunny ear dancer men partying
👯‍♀️,b'\\U0001F46F\\U0000200D\\U00002640\\U0000FE0F',women with bunny ears partying bunny ear dancer partying women
🕴,b'\\U0001F574',man in business suit levitating business man suit
🕴🏻,b'\\U0001F574\\U0001F3FB',man in business suit levitating: light skin tone business light skin tone man suit
🕴🏼,b'\\U0001F574\\U0001F3FC',man in business suit levitating: medium-light skin tone business man medium-light skin tone suit
🕴🏽,b'\\U0001F574\\U0001F3FD',man in business suit levitating: medium skin tone business man medium skin tone suit
🕴🏾,b'\\U0001F574\\U0001F3FE',man in business suit levitating: medium-dark skin tone business man medium-dark skin tone suit
🕴🏿,b'\\U0001F574\\U0001F3FF',man in business suit levitating: dark skin tone business dark skin tone man suit
🗣,b'\\U0001F5E3',speaking head face head silhouette speak speaking
👤,b'\\U0001F464',bust in silhouette bust silhouette
👥,b'\\U0001F465',busts in silhouette bust silhouette
🤺,b'\\U0001F93A',person fencing fencer fencing sword
🏇,b'\\U0001F3C7',horse racing horse jockey racehorse racing
🏇🏻,b'\\U0001F3C7\\U0001F3FB',horse racing: light skin tone horse jockey light skin tone racehorse racing
🏇🏼,b'\\U0001F3C7\\U0001F3FC',horse racing: medium-light skin tone horse jockey medium-light skin tone racehorse racing
🏇🏽,b'\\U0001F3C7\\U0001F3FD',horse racing: medium skin tone horse jockey medium skin tone racehorse racing
🏇🏾,b'\\U0001F3C7\\U0001F3FE',horse racing: medium-dark skin tone horse jockey medium-dark skin tone racehorse racing
🏇🏿,b'\\U0001F3C7\\U0001F3FF',horse racing: dark skin tone dark skin tone horse jockey racehorse racing
⛷,b'\\U000026F7',skier ski snow
🏂,b'\\U0001F3C2',snowboarder ski snow snowboard
🏂🏻,b'\\U0001F3C2\\U0001F3FB',snowboarder: light skin tone light skin tone ski snow snowboard
🏂🏼,b'\\U0001F3C2\\U0001F3FC',snowboarder: medium-light skin tone medium-light skin tone ski snow snowboard
🏂🏽,b'\\U0001F3C2\\U0001F3FD',snowboarder: medium skin tone medium skin tone ski snow snowboard
🏂🏾,b'\\U0001F3C2\\U0001F3FE',snowboarder: medium-dark skin tone medium-dark skin tone ski snow snowboard
🏂🏿,b'\\U0001F3C2\\U0001F3FF',snowboarder: dark skin tone dark skin tone ski snow snowboard
🏌,b'\\U0001F3CC',person golfing ball golf
🏌🏻,b'\\U0001F3CC\\U0001F3FB',person golfing: light skin tone ball golf light skin tone
🏌🏼,b'\\U0001F3CC\\U0001F3FC',person golfing: medium-light skin tone ball golf medium-light skin tone
🏌🏽,b'\\U0001F3CC\\U0001F3FD',person golfing: medium skin tone ball golf medium skin tone
🏌🏾,b'\\U0001F3CC\\U0001F3FE',person golfing: medium-dark skin tone ball golf medium-dark skin tone
🏌🏿,b'\\U0001F3CC\\U0001F3FF',person golfing: dark skin tone ball dark skin tone golf
🏌️‍♂️,b'\\U0001F3CC\\U0000FE0F\\U0000200D\\U00002642\\U0000FE0F',man golfing golf man
🏌🏻‍♂️,b'\\U0001F3CC\\U0001F3FB\\U0000200D\\U00002642\\U0000FE0F',man golfing: light skin tone golf light skin tone man
🏌🏼‍♂️,b'\\U0001F3CC\\U0001F3FC\\U0000200D\\U00002642\\U0000FE0F',man golfing: medium-light skin tone golf man medium-light skin tone
🏌🏽‍♂️,b'\\U0001F3CC\\U0001F3FD\\U0000200D\\U00002642\\U0000FE0F',man golfing: medium skin tone golf man medium skin tone
🏌🏾‍♂️,b'\\U0001F3CC\\U0001F3FE\\U0000200D\\U00002642\\U0000FE0F',man golfing: medium-dark skin tone golf man medium-dark skin tone
🏌🏿‍♂️,b'\\U0001F3CC\\U0001F3FF\\U0000200D\\U00002642\\U0000FE0F',man golfing: dark skin tone dark skin tone golf man
🏌️‍♀️,b'\\U0001F3CC\\U0000FE0F\\U0000200D\\U00002640\\U0000FE0F',woman golfing golf woman
🏌🏻‍♀️,b'\\U0001F3CC\\U0001F3FB\\U0000200D\\U00002640\\U0000FE0F',woman golfing: light skin tone golf light skin tone woman
🏌🏼‍♀️,b'\\U0001F3CC\\U0001F3FC\\U0000200D\\U00002640\\U0000FE0F',woman golfing: medium-light skin tone golf medium-light skin tone woman
🏌🏽‍♀️,b'\\U0001F3CC\\U0001F3FD\\U0000200D\\U00002640\\U0000FE0F',woman golfing: medium skin tone golf medium skin tone woman
🏌🏾‍♀️,b'\\U0001F3CC\\U0001F3FE\\U0000200D\\U00002640\\U0000FE0F',woman golfing: medium-dark skin tone golf medium-dark skin tone woman
🏌🏿‍♀️,b'\\U0001F3CC\\U0001F3FF\\U0000200D\\U00002640\\U0000FE0F',woman golfing: dark skin tone dark skin tone golf woman
🏄,b'\\U0001F3C4',person surfing surfing
🏄🏻,b'\\U0001F3C4\\U0001F3FB',person surfing: light skin tone light skin tone surfing
🏄🏼,b'\\U0001F3C4\\U0001F3FC',person surfing: medium-light skin tone medium-light skin tone surfing
🏄🏽,b'\\U0001F3C4\\U0001F3FD',person surfing: medium skin tone medium skin tone surfing
🏄🏾,b'\\U0001F3C4\\U0001F3FE',person surfing: medium-dark skin tone medium-dark skin tone surfing
🏄🏿,b'\\U0001F3C4\\U0001F3FF',person surfing: dark skin tone dark skin tone surfing
🏄‍♂️,b'\\U0001F3C4\\U0000200D\\U00002642\\U0000FE0F',man surfing man surfing
🏄🏻‍♂️,b'\\U0001F3C4\\U0001F3FB\\U0000200D\\U00002642\\U0000FE0F',man surfing: light skin tone light skin tone man surfing
