😀,b'\\U0001F600',grinning face face grin
👨🏽‍🌾,b'\\U0001F468\\U0001F3FD\\U0000200D\\U0001F33E',man farmer: medium skin tone farmer gardener man medium skin tone rancher
👨🏾‍🌾,b'\\U0001F468\\U0001F3FE\\U0000200D\\U0001F33E',man farmer: medium-dark skin tone farmer gardener man medium-dark skin tone rancher
👨🏿‍🌾,b'\\U0001F468\\U0001F3FF\\U0000200D\\U0001F33E',man farmer: dark skin tone dark skin tone farmer gardener man rancher
👩‍🌾,b'\\U0001F469\\U0000200D\\U0001F33E',woman farmer farmer gardener rancher woman
👩🏻‍🌾,b'\\U0001F469\\U0001F3FB\\U0000200D\\U0001F33E',woman farmer: light skin tone farmer gardener light skin tone rancher woman
👩🏼‍🌾,b'\\U0001F469\\U0001F3FC\\U0000200D\\U0001F33E',woman farmer: medium-light skin tone farmer gardener medium-light skin tone rancher woman
👩🏽‍🌾,b'\\U0001F469\\U0001F3FD\\U0000200D\\U0001F33E',woman farmer: medium skin tone farmer gardener medium skin tone rancher woman
👩🏾‍🌾,b'\\U0001F469\\U0001F3FE\\U0000200D\\U0001F33E',woman farmer: medium-dark skin tone farmer gardener medium-dark skin tone rancher woman
👩🏿‍🌾,b'\\U0001F469\\U0001F3FF\\U0000200D\\U0001F33E',woman farmer: dark skin tone dark skin tone farmer gardener rancher woman
👨‍🍳,b'\\U0001F468\\U0000200D\\U0001F373',man cook chef cook man
👨🏻‍🍳,b'\\U0001F468\\U0001F3FB\\U0000200D\\U0001F373',man cook: light skin tone chef cook light skin tone man
👨🏼‍🍳,b'\\U0001F468\\U0001F3FC\\U0000200D\\U0001F373',man cook: medium-light skin tone chef cook man medium-light skin tone
👨🏽‍🍳,b'\\U0001F468\\U0001F3FD\\U0000200D\\U0001F373',man cook: medium skin tone chef cook man medium skin tone
👨🏾‍🍳,b'\\U0001F468\\U0001F3FE\\U0000200D\\U0001F373',man cook: medium-dark skin tone chef cook man medium-dark skin tone
👨🏿‍🍳,b'\\U0001F468\\U0001F3FF\\U0000200D\\U0001F373',man cook: dark skin tone chef cook dark skin tone man
👩‍🍳,b'\\U0001F469\\U0000200D\\U0001F373',woman cook chef cook woman
👩🏻‍🍳,b'\\U0001F469\\U0001F3FB\\U0000200D\\U0001F373',woman cook: light skin tone chef cook light skin tone woman
👩🏼‍🍳,b'\\U0001F469\\U0001F3FC\\U0000200D\\U0001F373',woman cook: medium-light skin tone chef cook medium-light skin tone woman
👩🏽‍🍳,b'\\U0001F469\\U0001F3FD\\U0000200D\\U0001F373',woman cook: medium skin tone chef cook medium skin tone woman
👩🏾‍🍳,b'\\U0001F469\\U0001F3FE\\U0000200D\\U0001F373',woman cook: medium-dark skin tone chef cook medium-dark skin tone woman
👩🏿‍🍳,b'\\U0001F469\\U0001F3FF\\U0000200D\\U0001F373',woman cook: dark skin tone chef cook dark skin tone woman
👨‍🔧,b'\\U0001F468\\U0000200D\\U0001F527',man mechanic electrician man mechanic plumber tradesperson
👨🏻‍🔧,b'\\U0001F468\\U0001F3FB\\U0000200D\\U0001F527',man mechanic: light skin tone electrician light skin tone man mechanic plumber tradesperson
👨🏼‍🔧,b'\\U0001F468\\U0001F3FC\\U0000200D\\U0001F527',man mechanic: medium-light skin tone electrician man mechanic medium-light skin tone plumber tradesperson
👨🏽‍🔧,b'\\U0001F468\\U0001F3FD\\U0000200D\\U0001F527',man mechanic: medium skin tone electrician man mechanic medium skin tone plumber tradesperson
👨🏾‍🔧,b'\\U0001F468\\U0001F3FE\\U0000200D\\U0001F527',man mechanic: medium-dark skin tone electrician man mechanic medium-dark skin tone plumber tradesperson
👨🏿‍🔧,b'\\U0001F468\\U0001F3FF\\U0000200D\\U0001F527',man mechanic: dark skin tone dark skin tone electrician man mechanic plumber tradesperson
👩‍🔧,b'\\U0001F469\\U0000200D\\U0001F527',woman mechanic electrician mechanic plumber tradesperson woman
👩🏻‍🔧,b'\\U0001F469\\U0001F3FB\\U0000200D\\U0001F527',woman mechanic: light skin tone electrician light skin tone mechanic plumber tradesperson woman
👩🏼‍🔧,b'\\U0001F469\\U0001F3FC\\U0000200D\\U0001F527',woman mechanic: medium-light skin tone electrician mechanic medium-light skin tone plumber tradesperson woman
👩🏽‍🔧,b'\\U0001F469\\U0001F3FD\\U0000200D\\U0001F527',woman mechanic: medium skin tone electrician mechanic medium skin tone plumber tradesperson woman
👩🏾‍🔧,b'\\U0001F469\\U0001F3FE\\U0000200D\\U0001F527',woman mechanic: medium-dark skin tone electrician mechanic medium-dark skin tone plumber tradesperson woman
👩🏿‍🔧,b'\\U0001F469\\U0001F3FF\\U0000200D\\U0001F527',woman mechanic: dark skin tone dark skin tone electrician mechanic plumber tradesperson woman
👨‍🏭,b'\\U0001F468\\U0000200D\\U0001F3ED',man factory worker assembly factory industrial man worker
